year,month,day,avg_load
2025,5,6,16630.1
2025,5,7,15807.0
2025,5,8,16205.5
2025,5,9,16729.4
2025,5,10,17026.0
2025,5,11,15823.9
2025,5,12,16947.9
2025,5,13,17435.8
2025,5,14,17623.9
2025,5,15,17422.9
2025,5,16,17296.9
2025,5,17,15499.3
2025,5,18,13779.9
2025,5,19,14335.9
2025,5,20,14382.0
2025,5,21,14919.4
2025,5,22,15672.4
2025,5,23,15965.7
2025,5,24,15178.9
2025,5,25,13355.5
2025,5,26,13544.6
2025,5,27,14356.9
2025,5,28,14646.8
2025,5,29,15005.1
2025,5,30,15036.1
2025,5,31,15066.0
2025,6,1,14207.6
2025,6,2,15971.0
2025,6,3,17005.9
2025,6,4,17049.4
2025,6,5,17343.3
2025,6,6,17850.1
2025,6,7,16918.3
2025,6,8,14896.7
2025,6,9,15640.1
2025,6,10,15621.0
2025,6,11,15476.2
2025,6,12,15197.5
2025,6,13,15499.2
2025,6,14,15342.5
2025,6,15,14195.9
2025,6,16,15423.5
2025,6,17,16223.7
2025,6,18,17145.3
2025,6,19,17333.5
2025,6,20,17787.8
2025,6,21,16822.5
2025,6,22,15878.3
2025,6,23,15869.2
2025,6,24,16389.1
2025,6,25,16984.9
2025,6,26,17086.7
2025,6,27,17343.6
2025,6,28,17496.0
2025,6,29,15985.8
2025,6,30,17175.0
